"","caseid","weight","inputzip","county_fips","NCHS_Code_2013","USR_Classification","HRSA_Classification","Census_Classification","CountyName_Census","MO_Region","votereg","treat_group","QA","QB","consent","POLS001","POLS002","POLS007","POLS003","POLS004","POLS005","POLS006","POLS008","POLS009","POLS010","POLS010_t","POLS011","POLS012","POLS013","POLS014","POLS015","POLS016","POLS017","POLS018","POLS019","POLS020","POLS021","POLS022","POLS023","POLS024","POLS025","POLS026","POLS027","POLS028","POLS029","POLS030","POLS031","POLS032","POLS033","POLS034","POLS035","POLS036","EDU001","EDU002","EDU002_t","EDU003rule","EDU004rule","EDU005rule","EDU006rule","EDU007rule","EDU008rule","EDU009rule","EDU010rule","EDU011rule","EDU012","EDU013","EDU014","EDU015","EDU016","EDU017","EDU018","birthyr","agegroup","gender","race","educ","marstat","employ","faminc_new","incgroup","pid3","pid7","presvote16post","presvote20post","inputstate","ideo5","newsint","religpew","pew_churatd","pew_bornagain","pew_religimp","pew_prayer","ownhome","starttime","endtime"
"11",1910438333,0.472123589160896,63764,29017,4,2,2,2,"Bollinger MO",4,1,2,1,1,1,4,NA,NA,NA,3,2,1,1,1,2,"__NA__",4,4,3,3,NA,1,4,NA,NA,NA,2,2,1,1,2,NA,2,2,1,1,1,1,1,2,NA,1,2,5,"__NA__",37,55,25,77815,53808,55050,56705,78642,43460,1,2,1,1,2,1,2,1956,1,2,1,2,4,5,3,1,2,7,2,2,29,5,1,1,2,1,1,2,2,2022-08-08 13:48:45,2022-08-08 13:58:02
"12",1910386937,7.07576457036084,65791,29149,6,1,1,2,"Oregon MO",4,1,1,1,1,1,4,4,2,2,2,4,2,1,1,5,"personal freedom",4,3,4,5,3,NA,5,2,2,3,NA,NA,NA,NA,NA,2,2,2,3,1,1,3,1,2,2,NA,2,2,"__NA__",27,35,40,39959,60969,75276,26956,35672,52041,2,1,NA,2,2,1,2,1949,1,2,1,2,1,5,97,NA,4,4,2,3,29,3,1,11,6,2,4,6,1,2022-08-08 13:31:18,2022-08-08 14:03:47
"13",1910314255,0.690738586010775,63379,29113,2,3,3,2,"Lincoln MO",1,1,1,2,1,1,4,4,3,4,3,4,2,1,1,5,"Lowering the budget and shrinking government",4,3,4,4,3,NA,1,1,3,4,NA,NA,NA,NA,NA,1,2,2,1,1,1,2,2,2,1,NA,1,3,"__NA__",55,48,63,39457,49558,61869,36434,48295,48295,2,1,NA,2,2,1,3,1983,3,2,1,3,1,7,97,NA,4,5,2,2,29,4,1,10,5,1,3,5,1,2022-08-08 13:54:00,2022-08-08 14:03:54
"14",1910408913,0.916375912104721,63077,29071,2,3,3,2,"Franklin MO",1,1,1,1,1,1,4,4,2,2,1,2,1,1,1,1,"__NA__",4,3,2,2,3,NA,2,3,3,4,NA,NA,NA,NA,NA,1,2,2,1,1,1,2,2,2,2,NA,2,2,"__NA__",30,35,35,26191,30442,37458,20026,25340,29805,1,2,NA,3,2,2,2,1951,1,1,1,3,1,5,5,1,3,5,2,2,29,4,1,1,2,1,1,1,1,2022-08-08 13:47:08,2022-08-08 14:05:33
"15",1910356619,1.24509920139096,65807,29077,3,2,2,1,"Greene MO",3,1,2,2,1,1,4,NA,NA,NA,2,2,2,1,1,4,"__NA__",4,3,2,2,NA,2,2,NA,NA,NA,2,1,2,1,2,NA,2,2,2,2,2,2,2,2,NA,1,2,2,"__NA__",81,63,54,28762,33077,49595,23776,28975,32589,1,2,1,2,2,2,2,1951,1,1,1,5,1,1,4,1,2,7,2,2,29,4,2,1,5,1,1,1,1,2022-08-08 14:06:17,2022-08-08 14:13:15
"16",1910510055,0.485529217686745,65653,29213,5,1,1,1,"Taney MO",3,1,1,1,1,1,4,4,1,2,2,3,1,1,1,4,"__NA__",4,3,4,4,3,NA,1,3,2,4,NA,NA,NA,NA,NA,1,2,2,2,3,3,2,2,2,3,NA,1,3,"__NA__",51,62,45,50444,66307,73921,47272,50127,54569,2,1,NA,2,2,2,2,1968,2,2,1,3,1,6,97,NA,4,5,2,2,29,5,1,12,3,1,1,2,1,2022-08-08 14:03:37,2022-08-08 14:15:21
"17",1910383001,0.869192867098961,63116,29510,1,4,2,1,"St. Louis city MO",6,1,2,1,1,1,2,NA,NA,NA,4,3,4,2,2,3,"__NA__",3,2,4,3,NA,4,3,NA,NA,NA,3,2,1,1,3,NA,1,1,1,1,1,3,1,3,NA,2,2,1,"__NA__",30,20,30,42201,37393,52885,34366,27600,45940,1,3,1,1,3,2,1,1946,1,2,1,3,3,5,4,1,3,3,1,1,29,2,1,2,2,2,1,1,1,2022-08-08 14:10:14,2022-08-08 14:22:12
"18",1910387091,1.25802028537003,64052,29095,1,4,2,1,"Jackson MO",5,1,1,2,1,1,2,3,3,3,3,3,4,2,3,4,"__NA__",3,3,4,4,4,NA,3,3,3,4,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,2,2,NA,2,1,"__NA__",83,74,78,40936,48611,57749,38743,43494,51901,1,1,NA,1,1,3,1,1969,2,1,1,3,3,1,4,1,3,4,7,1,29,3,2,1,4,2,2,2,2,2022-08-08 14:17:13,2022-08-08 14:26:39
"19",1908555493,1.15143058244693,65655,29153,6,1,1,2,"Ozark MO",3,1,2,1,1,1,2,NA,NA,NA,3,4,4,2,2,5,"abortion rights",3,4,4,4,NA,2,4,NA,NA,NA,1,2,1,1,1,NA,2,1,1,1,1,1,1,1,NA,2,2,2,"__NA__",20,41,70,30356,43537,68197,30356,36734,48214,1,1,1,3,2,2,2,1949,1,1,1,5,1,5,9,2,3,3,1,1,29,3,1,2,4,2,1,3,1,2022-08-08 14:10:35,2022-08-08 14:27:04
"20",1910381689,1.91161085713032,63124,29189,2,3,3,1,"St. Louis MO",6,1,2,2,1,1,2,NA,NA,NA,5,3,4,2,2,2,"__NA__",4,4,4,4,NA,4,4,NA,NA,NA,2,2,1,1,1,NA,2,2,2,2,2,2,2,2,NA,1,2,2,"__NA__",81,30,24,60172,28018,80314,37159,27805,50552,1,1,1,1,1,2,2,1996,4,2,6,5,5,1,2,1,2,7,1,1,29,5,1,2,2,2,1,1,2,2022-08-08 14:18:46,2022-08-08 14:28:21
